name,label
补虚、收涩固表止汗药,Category
宁夏及四川西部,Origin
本草汇纂,Literature
除虚热、止汗,Efficacy
本草蒙鉴,Literature
中医大宝库,Literature
奇方类编,Literature
阴阳两虚所致的自汗盗汗者不宜用无汗而烦躁或虚脱汗出者忌用,Contraindication
清热定惊,Efficacy
通络,Efficacy
平喘,Efficacy
利尿,Efficacy
罗大伦,Literature
喉科金钥,Literature
脾胃虚寒者不宜服，孕妇禁服,Contraindication
清心,Efficacy
豁痰,Efficacy
开窍,Efficacy
凉肝,Efficacy
息风,Efficacy
解毒,Efficacy
外科全生集,Literature
保婴撮要,Literature
索问病机保命集,Literature
孕妇和脾虚便溏慎服,Contraindication
清热,Efficacy
凉血,Efficacy
定惊,Efficacy
长江以南各地均产。,Origin
海上集验方,Literature
孕妇、中虚胃寒者慎服大量服用常有上腹部不适，恶心，腹胀，食欲不振等反应,Contraindication
平肝熄风,Efficacy
清热镇惊,Efficacy
羚羊角散,Literature
续青囊方,Literature
脾虚慢惊患者禁服,Contraindication
清肝明目,Efficacy
息风平抑肝阳药,Category
脾胃虚寒者慎服,Contraindication
养气血,Efficacy
脾胃虚寒、肾阳不足慎服,Contraindication
平肝安神,Efficacy
清热利水,Efficacy
内蒙古中草药,Literature
江苏植药志,Literature
脾虚慢惊者慎用,Contraindication
平肝解郁,Efficacy
活血祛风,Efficacy
止痒,Efficacy
平肝息风药,Category
《本经,Literature
肝虚、血虚气弱及孕妇慎服,Contraindication
平抑肝阳药.,Category
脾胃虚寒者慎服，消化不良、胃酸缺乏者禁服,Contraindication
降逆,Efficacy
长沙药解,Literature
外感风热,Efficacy
发热头昏,Efficacy
咽痛,Efficacy
安徽,Origin
浙江,Origin
江苏等地,Origin
敛汗固精,Efficacy
止血涩肠,Efficacy
生肌敛疮,Efficacy
安神收涩平抑肝阳药.,Category
事林广记,Literature
"有湿热、实邪者忌服
①《本草经集注》：""得人参、牛黄良；畏石膏""
②《药性论》：""忌鱼""",Contraindication
重镇安神,Efficacy
潜阳补阴,Efficacy
止汗涩精,Efficacy
软坚散结,Efficacy
安神平抑肝阳药.,Category
乾坤生意,Literature
续传信方,Literature
脚气治法总要,Literature
如宜方,Literature
广西本草选编,Literature
血虚、腰痛非风湿不宜服,Contraindication
补肝肾、祛风湿、强腰膝,Efficacy
江西,Origin
福建等地,Origin
江西中草药学,Literature
伤寒蕴要,Literature
阴虚有热、肝虚有郁火、短涩赤黄，口苦舌干、小便不利者慎服,Contraindication
补虚润肺,Efficacy
强筋活络、清热解毒,Efficacy
祛风湿、利关节、解毒,Efficacy
无风湿者慎服、阴血不足者忌服，多服令人吐忌铁,Contraindication
止泻痢,Efficacy
四川㈡，药志,Literature
祛风散寒、除湿消肿、舒筋活血,Efficacy
孕妇及出血过多者忌服,Contraindication
壮筋骨,Efficacy
临床常用中药手册,Literature
中药材手册,Literature
阴虚内热者慎用，忌莱菔,Contraindication
活血祛瘀、祛风湿,Efficacy
止痉,Efficacy
广东及广西等地,Origin
医方类聚,Literature
血虚生风者慎服忌犯铁器,Contraindication
重庆草药,Literature
山西中草药,Literature
强筋骨,Efficacy
除风湿,Efficacy
益血,Efficacy
杨氏护命方,Literature
平肝和胃,Efficacy
去湿舒筋,Efficacy
广东等地,Origin
本草拾遣,Literature
天津中草药,Literature
传冢秘宝方,Literature
静月山人宇民间老中医整理,Literature
阴虚血燥者慎用,Contraindication
收敛止血,Efficacy
截疟,Efficacy
健胃,Efficacy
止痢,Efficacy
收敛止血药,Category
江西民间草药验方,Literature
静月山人于民间老中医整理,Literature
伪药条辨,Literature
非出血不止者不用表证发热者慎服,Contraindication
解毒止痛,Efficacy
舒筋活血,Efficacy
散瘀消肿,Efficacy
灵秘丹药笺,Literature
孙氏集效方,Literature
强筋骨、补虚补阳药,Category
外台秘要,Literature
赛金丹,Literature
和剂局方,Literature
瑞竹堂经验方,Literature
滇南本草图说,Literature
初痢勿用，怒气郁者禁用《本草经集注》：地黄为之使恶雷丸,Contraindication
消食化积,Efficacy
江西草药手册,Literature
止咳,Efficacy
内蒙古等地,Origin
河北中药手册,Literature
陕西植药调查,Literature
东北药植志,Literature
有小毒，粉碎加工时，部分人（过敏体质）会发生过敏反应,Contraindication
强筋壮骨,Efficacy
药典,Literature
阴虚火旺者慎服,Contraindication
血热、肝阳上亢、阴虚火旺者慎服不宜过量或长期服用,Contraindication
山东等地,Origin
本草原始,Literature
《中药志,Literature
有毒，内服用量不宜过大,Contraindication
浙江中药手册,Literature
不明确,Contraindication
干金方,Literature
本草蒙签,Literature
补肝肾、舒筋活络、益气血,Efficacy
广西药植名录,Literature
浙南本草新编,Literature
文山中草药,Literature
祛瘀止痛、解毒消肿,Efficacy
贵州及西藏,Origin
西昌中草药,Literature
有小毒，内服宜慎用孕妇慎用,Contraindication
祛风止痛,Efficacy
祛风湿清热药,Category
海南及广西,Origin
本草切要,Literature
脾胃虚弱及阴虚无湿热者忌服防己苦寒较甚，不宜大量使用，以免损伤胃气,Contraindication
祛风利湿、抗癌,Efficacy
体虚、无湿热者忌用,Contraindication
祛风通络,Efficacy
解毒消肿、清热除湿,Efficacy
广西实用中草药新选,Literature
浙江中药资源名录,Literature
广东中药,Literature
舒筋络,Efficacy
清虚热,Efficacy
珍珠囊,Literature
医学心悟,Literature
不知医必要,Literature
主治秘要,Literature
久痛虚羸，溲多、便滑者忌服,Contraindication
风寒湿痹,Efficacy
关节疼痛,Efficacy
肢体麻木,Efficacy
祛风湿散寒药,Category
有大毒，生品内服需严格经医嘱阴虚阳盛，热症疼痛及孕妇禁服,Contraindication
温经止痛,Efficacy
华北各省,Origin
医宗金鉴,Literature
云林神般,Literature
有大毒，生品内服需严格经医嘱；孕妇禁用；,Contraindication
祛风胜湿,Efficacy
散寒止痛,Efficacy
活幼新书,Literature
症因脉治,Literature
鸡峰,Literature
