disease_name,department_name
肺门淋巴结核,传染科
附红细胞体病,传染科
肺结核瘤,传染科
肺鼠疫,传染科
肺炭疽,传染科
肺吸虫病,传染科
肺结核,传染科
肺包虫病,传染科
非结核性分枝杆菌病,传染科
非01霍乱弧菌肠炎,传染科
钩虫病,传染科
弓形虫病,传染科
钩端螺旋体病,传染科
弓形体病,传染科
冠状病毒感染,传染科
钩端螺旋体病...,传染科
回归热,传染科
黄热病,传染科
霍乱,传染科
H7n7,传染科
H7N9型禽流感,传染科
获得性免疫缺...,传染科
黑热病,传染科
华支睾吸虫病,传染科
汉坦病毒肺综合征,传染科
急性丙肝,传染科
急性播散性脑脊髓炎,传染科
肩关节结核,传染科
结核性脓胸,传染科
结核病,传染科
甲型副伤寒,传染科
甲流,传染科
巨细胞病毒病,传染科
科罗拉多蜱热,传染科
口蹄病,传染科
抗-HCVAg阳性,传染科
夸赛纳森林病,传染科
卡他莫拉菌感染,传染科
康诺尔立克次...,传染科
狂犬病,传染科
克里米亚-刚...,传染科
溃疡性皮肤结核,传染科
寇热,传染科
库鲁病,传染科
柯萨奇病毒和...,传染科
淋巴丝虫病,传染科
淋球菌感染,传染科
淋巴结结核,传染科
老年人肺结核病,传染科
流行性斑疹伤寒,传染科
利斯特菌病,传染科
老年人肺结核,传染科
流行性乙型脑炎,传染科
泌尿生殖系支...,传染科
慢性细菌性痢疾,传染科
麻风性角膜病变,传染科
麻风,传染科
猫抓病,传染科
马尔堡病毒病,传染科
麻疹,传染科
麻风病,传染科
慢性阿米巴性痢疾,传染科
慢性阿米巴病肠炎,传染科
湄公血吸虫病,传染科
毛圆线虫病,传染科
念珠菌病,传染科
脑弓形体病,传染科
男性生殖系结核,传染科
牛带绦虫病,传染科
诺卡菌病,传染科
内脏血吸虫炎,传染科
内脏利什曼病,传染科
疟疾肾病,传染科
诺卡放线菌病,传染科
疟疾,传染科
脑结核瘤,传染科
难辨芽胞杆菌肠炎,传染科
皮下裂头蚴病,传染科
盘尾丝虫病,传染科
皮肤阿米巴病,传染科
皮肤炭疽,传染科
皮肤幼虫移行症,传染科
片吸虫病,传染科
品他病,传染科
